SCOPE,AGGREGATION LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,CHARTER STATUS,ALL ENROLLMENT,AT RISK,BILINGUAL,DYSLEXIC,ECONOMICALLY DISADVANTAGED,EMERGENT BILINGUAL/ENGLISH LEARNER,ESL,FOSTER CARE,GIFTED & TALENTED,HOMELESS,MILITARY CONNECTED,SECTION 504,SPECIAL EDUCATION,TITLE I
STATE,DISTRICT,2022-2023,254901,CRYSTAL CITY ISD,20,TRADITIONAL ISD/CSD,1799,950,0,119,1564,39,35,0,103,94,0,168,256,1799
STATE,DISTRICT,2022-2023,62901,CUERO ISD,3,TRADITIONAL ISD/CSD,1937,1029,0,130,1248,73,70,13,98,95,20,235,357,1296
STATE,DISTRICT,2022-2023,55901,CULBERSON COUNTY-ALLAMOORE ISD,18,TRADITIONAL ISD/CSD,366,204,0,11,299,20,19,0,19,13,0,-999,41,366
STATE,DISTRICT,2022-2023,212801,CUMBERLAND ACADEMY,7,OPEN ENROLLMENT CHARTER,2037,654,0,168,788,151,129,0,0,0,78,303,219,1156
STATE,DISTRICT,2022-2023,112905,CUMBY COLLEGIATE ISD,8,TRADITIONAL ISD/CSD,431,196,0,55,243,20,18,0,26,19,0,53,73,431
STATE,DISTRICT,2022-2023,174902,CUSHING ISD,7,TRADITIONAL ISD/CSD,547,254,0,31,372,30,15,-999,57,-999,13,58,93,547
STATE,DISTRICT,2022-2023,101907,CYPRESS-FAIRBANKS ISD,4,TRADITIONAL ISD/CSD,118010,61875,4373,3720,68462,22288,13811,185,8523,765,4479,5011,13786,55238
STATE,DISTRICT,2022-2023,163902,D'HANIS ISD,20,TRADITIONAL ISD/CSD,284,71,0,19,111,-999,-999,0,32,0,-999,31,36,284
STATE,DISTRICT,2022-2023,172902,DAINGERFIELD-LONE STAR ISD,8,TRADITIONAL ISD/CSD,1013,533,0,89,871,113,113,-999,46,50,-999,138,193,1013
STATE,DISTRICT,2022-2023,56901,DALHART ISD,16,TRADITIONAL ISD/CSD,1770,872,72,70,1140,581,378,11,68,19,15,75,179,1770
STATE,DISTRICT,2022-2023,57905,DALLAS ISD,10,TRADITIONAL ISD/CSD,141169,92083,35240,7476,119875,68856,30989,230,26603,2643,497,7257,15679,136558
STATE,DISTRICT,2022-2023,20910,DAMON ISD,4,TRADITIONAL ISD/CSD,94,31,0,-999,78,17,16,-999,-999,-999,0,-999,21,0
STATE,DISTRICT,2022-2023,20904,DANBURY ISD,4,TRADITIONAL ISD/CSD,737,320,0,55,281,51,49,-999,38,13,-999,58,102,338
